DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0229286	2	2	3	7	3	1	1	0	6306	28	0	52.6033 	0	0
UL	0.0229821	2	2	3	10	3	1	2	0	6306	28	0	48.2214 	0	0
DL	0.0230714	2	3	0	1	3	1	1	0	6306	28	0	52.5791	0	0
DL	0.023125	2	3	0	4	3	1	2	0	6306	28	0	48.2421	0	0
UL	0.0231786	2	3	0	7	3	1	1	0	6306	28	0	52.6108 	0	0
UL	0.0232321	2	3	0	10	3	1	2	0	6306	28	0	48.3157 	0	0
DL	0.0233214	2	3	1	1	3	1	1	0	6306	28	0	52.5395	0	0
DL	0.023375	2	3	1	4	3	1	2	0	6306	28	0	48.291	0	0
UL	0.0234286	2	3	1	7	3	1	1	0	6306	28	0	52.4964 	0	0
UL	0.0234821	2	3	1	10	3	1	2	0	6306	28	0	48.3419 	0	0
DL	0.0235714	2	3	2	1	3	1	1	0	6306	28	0	52.4406	0	0
DL	0.023625	2	3	2	4	3	1	2	0	6306	28	0	48.3728	0	0
UL	0.0236786	2	3	2	7	3	1	1	0	6306	28	0	52.4196 	0	0
UL	0.0237321	2	3	2	10	3	1	2	0	6306	28	0	48.3483 	0	0
DL	0.0238214	2	3	3	1	3	1	1	0	6306	28	0	52.3764	0	0
DL	0.023875	2	3	3	4	3	1	2	0	6306	28	0	48.2686	0	0
UL	0.0239286	2	3	3	7	3	1	1	0	6306	28	0	52.3965 	0	0
UL	0.0239821	2	3	3	10	3	1	2	0	6306	28	0	48.2785 	0	0
DL	0.0240714	2	4	0	1	3	1	1	0	6306	28	0	52.3872	0	0
DL	0.024125	2	4	0	4	3	1	2	0	6306	28	0	48.2641	0	0
UL	0.0241786	2	4	0	7	3	1	1	0	6306	28	0	52.3214 	0	0
UL	0.0242321	2	4	0	10	3	1	2	0	6306	28	0	48.254 	0	0
DL	0.0243214	2	4	1	1	3	1	1	0	6306	28	0	52.2912	0	0
DL	0.024375	2	4	1	4	3	1	2	0	6306	28	0	48.26	0	0
UL	0.0244286	2	4	1	7	3	1	1	0	6306	28	0	52.3732 	0	0
UL	0.0244821	2	4	1	10	3	1	2	0	6306	28	0	48.3452 	0	0
DL	0.0245714	2	4	2	1	3	1	1	0	6306	28	0	52.5212	0	0
DL	0.024625	2	4	2	4	3	1	2	0	6306	28	0	48.3358	0	0
UL	0.0246786	2	4	2	7	3	1	1	0	6306	28	0	52.4763 	0	0
UL	0.0247321	2	4	2	10	3	1	2	0	6306	28	0	48.3241 	0	0
DL	0.0248214	2	4	3	1	3	1	1	0	6306	28	0	52.5119	0	0
DL	0.024875	2	4	3	4	3	1	2	0	6306	28	0	48.3454	0	0
UL	0.0249286	2	4	3	7	3	1	1	0	6306	28	0	52.5525 	0	0
UL	0.0249821	2	4	3	10	3	1	2	0	6306	28	0	48.3213 	0	0
DL	0.0250714	2	5	0	1	3	1	1	0	6306	28	0	52.5725	0	0
DL	0.025125	2	5	0	4	3	1	2	0	6306	28	0	48.4284	0	0
UL	0.0251786	2	5	0	7	3	1	1	0	6306	28	0	52.5653 	0	0
UL	0.0252321	2	5	0	10	3	1	2	0	6306	28	0	48.5466 	0	0
DL	0.0253214	2	5	1	1	3	1	1	0	6306	28	0	52.4985	0	0
DL	0.025375	2	5	1	4	3	1	2	0	6306	28	0	48.4374	0	0
UL	0.0254286	2	5	1	7	3	1	1	0	6306	28	0	52.478 	0	0
UL	0.0254821	2	5	1	10	3	1	2	0	6306	28	0	48.4287 	0	0
DL	0.0255714	2	5	2	1	3	1	1	0	6306	28	0	52.4358	0	0
DL	0.025625	2	5	2	4	3	1	2	0	6306	28	0	48.3647	0	0
UL	0.0256786	2	5	2	7	3	1	1	0	6306	28	0	52.49 	0	0
UL	0.0257321	2	5	2	10	3	1	2	0	6306	28	0	48.4233 	0	0
DL	0.0258214	2	5	3	1	3	1	1	0	6306	28	0	52.5525	0	0
DL	0.025875	2	5	3	4	3	1	2	0	6306	28	0	48.4706	0	0
UL	0.0259286	2	5	3	7	3	1	1	0	6306	28	0	52.5269 	0	0
UL	0.0259821	2	5	3	10	3	1	2	0	6306	28	0	48.4301 	0	0
DL	0.0260714	2	6	0	1	3	1	1	0	6306	28	0	52.635	0	0
DL	0.026125	2	6	0	4	3	1	2	0	6306	28	0	48.4835	0	0
UL	0.0261786	2	6	0	7	3	1	1	0	6306	28	0	52.5723 	0	0
UL	0.0262321	2	6	0	10	3	1	2	0	6306	28	0	48.4744 	0	0
DL	0.0263214	2	6	1	1	3	1	1	0	6306	28	0	52.6348	0	0
DL	0.026375	2	6	1	4	3	1	2	0	6306	28	0	48.4545	0	0
UL	0.0264286	2	6	1	7	3	1	1	0	6306	28	0	52.671 	0	0
UL	0.0264821	2	6	1	10	3	1	2	0	6306	28	0	48.4229 	0	0
DL	0.0265714	2	6	2	1	3	1	1	0	6306	28	0	52.6948	0	0
DL	0.026625	2	6	2	4	3	1	2	0	6306	28	0	48.383	0	0
UL	0.0266786	2	6	2	7	3	1	1	0	6306	28	0	52.6533 	0	0
UL	0.0267321	2	6	2	10	3	1	2	0	6306	28	0	48.3176 	0	0
DL	0.0268214	2	6	3	1	3	1	1	0	6306	28	0	52.7062	0	0
DL	0.026875	2	6	3	4	3	1	2	0	6306	28	0	48.3598	0	0
UL	0.0269286	2	6	3	7	3	1	1	0	6306	28	0	52.7374 	0	0
UL	0.0269821	2	6	3	10	3	1	2	0	6306	28	0	48.4302 	0	0
