DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.036875	3	6	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0369821	3	6	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.037125	3	7	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0372321	3	7	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.037375	3	7	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0374821	3	7	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.037625	3	7	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0377321	3	7	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.037875	3	7	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0379821	3	7	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.038125	3	8	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0382321	3	8	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.038375	3	8	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0384821	3	8	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.038625	3	8	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0387321	3	8	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.038875	3	8	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0389821	3	8	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.039125	3	9	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0392321	3	9	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.039375	3	9	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0394821	3	9	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.039625	3	9	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0397321	3	9	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.039875	3	9	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0399821	3	9	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.040125	4	0	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0402321	4	0	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.040375	4	0	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0404821	4	0	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.040625	4	0	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0407321	4	0	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.040875	4	0	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0409821	4	0	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.041125	4	1	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0412321	4	1	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.041375	4	1	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0414821	4	1	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.041625	4	1	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0417321	4	1	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.041875	4	1	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0419821	4	1	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.042125	4	2	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0422321	4	2	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.042375	4	2	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0424821	4	2	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.042625	4	2	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0427321	4	2	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.042875	4	2	3	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0429821	4	2	3	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.043125	4	3	0	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0432321	4	3	0	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.043375	4	3	1	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0434821	4	3	1	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
DL	0.043625	4	3	2	1	6	1	1	0	12761	28	0	nan	0	0.00389299
UL	0.0437321	4	3	2	7	6	1	1	0	12761	28	0	nan 	0	0.00389299
